id;client_id;created_date;updated_date;deleted_date;lastname;firstname;gender;salutation;title;birthday_day;birthday_month;birthday_alt_month;anniversary_day;anniversary_month;company;email;email_alt;phone_number;phone_numberlocale;phone_numberalt;phone_numberaltlocale;address;address_2;city;postal_code;state;country;is_contact_private;is_onetime_guest;status;loyalty_id;loyalty_rank;loyalty_tier;marketing_optin;marketing_optints;marketing_opt_outts;has_billing_profile;notes;private_notes;tags;total_visits;total_covers;total_cancellations;total_no_shows;total_spend;total_spend_per_cover;totalspend_per_visit;avg_rating;reference_code;external_user_id;venue_group_id;birthday_alt_day;user_id;user_name;total_order_count;preferred_language_code;tech_lineage;tech_created_date;tech_updated_date;tech_mapping;tech_comment
1;starry hence unto;formal;as;drat once;yet ack;crowded frightfully;molecule wildly frogmarch;tricky brr self-confidence;lasting bronze;21895;283;11888;26465;23692;inscription;Ricky_Corwin@gmail.com;brr;gah;these inform yowza;leverage;sheepishly tot meh;vice drawing;oof;Herthaport;potentially;lender;Liberia;false;false;disassemble peanut;savage;5367;dislodge differentiate;true;aw once harness;inasmuch;true;rely;very upright;toddle provided fooey;1662.17;12136.27;25636.62;14487.7;8276.3;27439.15;15268.53;20972.05;upon ick how;despite;why psst oof;2819;gosh;loosely spandex;21211;atop phooey synod;pare;2023-12-27T08:52:31;2023-12-27T06:41:14;incidentally administration;miniature phew
2;from fear;drat hasten on;not;furthermore twinkle brr;punctual;ax like;officially variable formalize;as freon;circa rout;22861;29152;23584;27268;4620;blah;Brent_Daugherty@hotmail.com;envious;sputter;gee heap;healthily now;consequently enrapture oddball;except solidly;although;North Candidochester;tomorrow enthusiastically snarling;shyly meh until;Belgium;false;true;inside ick deglaze;format delightfully;19446;famously;false;off;vaguely ick incidentally;false;sternly consequently;writhing embellished readily;dental meh full;6268.93;11852.68;24399.67;27184.85;9938.68;21294.95;11653.02;4385.26;unnaturally oh;bravely among;institute;21403;clothes;unimpressively frenzy;22245;adorable;musty;2023-12-26T18:24:19;2023-12-26T16:46:26;courteous;subdued the
3;unlike dragonfly;reorganise;grimy bitterly since;spirited anti;liquid impressive;after;that general hedge;frivolous;rest;20480;19471;22923;8760;23053;against;Eino_Schneider@yahoo.com;if express;aw;kneejerk criminal;gracefully meaningfully behind;by;fooey;wherever;Framiboro;pilgrim greedily shake;yet possibility;Myanmar;false;true;analyse;top;28843;thankfully sham;false;lambkin oof snaggle;whoever;true;ferociously;midst;blah thunderbolt phooey;8769.13;26047.92;12738.14;13508.3;7031.16;19300.89;13401.38;28894.57;monthly wavy what;which apologise;among yowza;32044;safely;if worriedly unlucky;32580;concept hasty of;leapfrog;2023-12-27T05:05:22;2023-12-27T02:18:21;vainly yahoo gerrymander;until isolation whoa
4;once;amidst;fast unripe;um reform wetsuit;trout eek;smooth across apt;gen gah instead;spanish fiercely gosh;freely;12862;896;17565;31914;21431;desire loiter sorrow;Naomi.Friesen@hotmail.com;inquisitively er record;under trust;after reluctantly;likewise gifted upliftingly;who;grub renew;alongside plus ha;Fort Brendamouth;glum nearest;ick now;United Arab Emirates;true;true;considering hmph interconnection;till geez fooey;9116;summit;true;tick petty tall;including likewise overgeneralise;false;regarding zowie;opposite before quirkily;oof;4014.85;2358.15;15654;27400.13;31395.14;23078.19;10767.9;1866.98;cooked given exocrine;yippee fooey fooey;cradle;16344;socialize boo;since for;892;female except;finally meaningfully;2023-12-27T06:13:46;2023-12-27T04:29:30;hairy mainland because;concerning infantile seldom
5;try;pfft;madly wake;commonly than;zowie drat grim;grouchy lisp paltry;instead however;gee;how;21215;10260;24252;5340;22102;around;Jude.Bauch@yahoo.com;ew;carefully phew but;although;wick knowledgeable;shrilly terribly;so between pro;implore;Lake Mekhi;weakly increase wherever;minor;Niue;true;false;although never;of;18948;oh;true;only during;stanch although off;true;how mysteriously;imagineer;conventional limber;8566.27;25559.67;12533.04;20278.19;411.75;1885.19;21722.23;1219.04;because;rarely meanwhile;edible measure tensely;21297;stream;arm;14559;winch;although whoosh sheep;2023-12-27T10:36:06;2023-12-27T03:53:43;seriously nephew;terrace pretend
6;aside nor spout;worst;ply;at;pish;nourishment periodical ah;aw uh-huh conscientize;psst sequel;without oof;11330;31831;23940;5491;22352;unlike rob;Alia.Schimmel@yahoo.com;painter;through or blindly;usually before;stark;creaking dolphin;reproachfully;unbearably soon woot;South Shanna;why mortal;boohoo;Mauritania;true;true;lest apud hush;so thick properly;27907;whether that;true;whimsical yet;weekend loyally;true;why sans;midst;meaningfully;12758.22;15614.22;26292.76;5750.92;20688.85;29073.72;23888.94;17012.04;under bah mow;pad midst;before instead;29244;excluding hence sympathetically;neatly;5949;excluding;yuck but;2023-12-26T16:43:09;2023-12-27T07:11:33;about beautiful;thin
7;yahoo fully since;slowly;ew;meanwhile bah yet;underbid upon oppress;solidly eek regarding;throughout muscatel;gah unless officially;ump faint which;30615;30773;30436;30231;8288;geez till toward;Velma.Wilderman@hotmail.com;horrible;yum criminal;shield daintily;cockroach eek;idea inundate;dense;cite for;South Rosinaboro;roughhouse;smoothly;French Southern Territories;false;false;collectivisation zone;although notwithstanding soap;4154;as even pop;false;lest across;academic buffalo;true;badly comfortable;more nearly focused;gadzooks;23752.43;14643.75;15461.82;4268.36;473.9;24559.8;988.13;12512.9;now accomplished tepid;yum gah;entrepreneur fooey pfft;12918;big whoever;yowza used so;15899;within versus ack;incidentally prance;2023-12-27T01:56:28;2023-12-26T21:14:20;crook unnaturally considerate;hopelessly why
8;under;knitting;ew onto;wisely save;oh huzzah ouch;atop;belfry;toward hence;uh-huh cleverly expense;7084;1119;9371;3347;17892;knottily whose;Maiya61@hotmail.com;sedately;solemnly;ballpark towards;likewise;destruction squeaky;despite;and snowstorm pledge;Anniebury;boo bank;sans package merrily;Ghana;true;true;wholesale;where;13068;cleverly;true;woot limply;by sublimate mother;false;wetly or against;gah overdo harass;gruesome;22297.02;8551.66;23245.58;3399.07;12603.27;9479.86;22287.44;19763.93;pro;however;including;902;loose;how happy-go-lucky;29946;finally;reimburse tuxedo exactly;2023-12-27T04:20:41;2023-12-27T08:53:21;how whose;because
9;immense;vegetarianism warfare;gently focused;backspace from however;wholly;once;employ curiously;beggar though doss;toenail amongst;21763;2244;6756;19056;9963;well amazing;Yessenia65@gmail.com;which odd even;joshingly;circa aw dupe;though;toward agonizing;regularise ouch as;internalize cultivated bah;Schulistberg;perch cheap;trifling glimmering;Singapore;false;false;guilty resource boom;tall exaggerate;17431;foment;true;ew;tremendously unnaturally ululate;false;instantly energetically olive;allude;vacantly pish;30302.71;8043.41;7702.47;7982.05;6301.99;18448.61;13376.11;32575.59;before hm cilantro;yuck;before factory;3884;times gadzooks thin;adventurously;20802;seriously past or;babyish before;2023-12-26T16:28:42;2023-12-26T16:59:00;bonding;ha quicker
10;chalk;oh amid;astride;nor headlight awesome;where wilted;when;where upload;hash;aw provision core;25132;12076;7690;3096;6186;eek deer or;Shania_Koepp@hotmail.com;nutritious fatally;with;partially;injunction reluctantly perfectly;honeybee phew;majestically aw;next;Hilo;rightfully boo;lest;Greece;false;true;chopsticks;astride woeful;25171;intend yuck ah;true;humidity creative;miserly where or;true;hence questionable phew;fondue eek sugary;within but;9007.27;27115.33;19821.3;11557.96;6710.78;25685.62;1802.56;30539.05;portly;insect irritably spellcheck;writhing;25536;whoever nearly rigidly;weird;15582;duh or basic;biscuit yearningly portfolio;2023-12-27T06:00:25;2023-12-27T00:47:05;gosh;scarce
